Complexity|MSE|Equation
1|0.2322505|x0
2|0.22208941|sqrt_abs(x0)
3|0.22114621|sqrt_abs(atan(x0))
4|0.20603669|erfc(pow(x2, x1))
5|0.17360663|erfc(cube(pow(x2, x1)))
6|0.17317633|erfc(erf(cube(pow(x2, x1))))
7|0.16878496|erfc(greater(cube(pow(x2, x1)), x0))
8|0.16187209|erfc(atan(greater(cube(pow(x2, x1)), x0)))
9|0.16139676|asinh(erfc(greater(atan(cube(pow(x2, x1))), x0)))
10|0.15855403|asinh(erfc(greater(cube(pow(x2, erf(erf(x1)))), x0)))
11|0.15491761|asinh(erfc(greater(atan(cube(pow(x2, erf(erf(x1))))), x0)))
12|0.15231876|sin(erfc(asinh(greater(atan(cube(pow(x2, erf(erf(x1))))), x0))))
13|0.15228552|sin(erfc(asinh(greater(atan(cube(pow(x2, erf(atan(erf(x1)))))), x0))))
14|0.149377|sin(erfc(asinh(greater(atan(cube(pow(x2, erf(erf(x2 + x1))))), x0))))
15|0.14871134|sin(erfc(asinh(greater(cube(pow(tan(erf(x2)), erf(erf(x2 + x1)))), x0))))
16|0.1483522|sin(erfc(asinh(greater(atan(cube(pow(erf(x2), erf(erf(x2 + x1))))), tanh(x0)))))
17|0.14647695|(atan(erfc(asinh(greater(atan(cube(pow(erf(x2), erf(erf(x2 + x1))))), x0)))) + x1)
18|0.14622465|(atan(erfc(asinh(greater(atan(cube(pow(erf(x2), erf(erf(x2 + x1))))), x0)))) + log1p_abs(x1))
19|0.14598732|(log1p_abs(x1) + atan(erfc(asinh(greater(atan(cube(pow(atanh_clip(erf(x2)), erf(erf(x1 + x2))))), x0)))))
20|0.14585084|(erf(log1p_abs(x1)) + atan(erfc(asinh(greater(atan(cube(pow(atanh_clip(erf(x2)), erf(erf(x1 + x2))))), x0)))))
